,id,uri,song_name,artist_name,key,mode,danceability,energy,loudness,acousticness,speechiness,instrumentalness,liveness,tempo,valence,duration_ms,time_signature,popularity
1944,0tgAhrvNPhSyMZR0wWbv6Z,spotify:track:0tgAhrvNPhSyMZR0wWbv6Z,#1 Freak (feat. Ty Dolla $ign),Roddy Ricch,4,0,0.827,0.564,-7.967,0.095,0.0838,0.0,0.357,125.081,0.781,184368,4,55
1945,4ZevD501qZiFK7FY8DFn0V,spotify:track:4ZevD501qZiFK7FY8DFn0V,Do It Right,Don Toliver,5,1,0.662,0.515,-6.867,0.458,0.199,0.0,0.163,69.808,0.386,174474,4,61
1946,2tFwYCvY0x9IfeW63AdMpM,spotify:track:2tFwYCvY0x9IfeW63AdMpM,Take Shots (feat. Tory Lanez),A Boogie Wit da Hoodie,10,0,0.63,0.505,-4.923,0.0331,0.244,0.0,0.0713,92.537,0.578,281985,4,72
1947,67r21HpmhEPrnP4HWxnCPw,spotify:track:67r21HpmhEPrnP4HWxnCPw,Spend It,Babyface Ray,10,1,0.868,0.592,-5.672,0.453,0.127,0.0,0.127,125.006,0.429,200699,4,43
1948,1qMnyfVxKKlAxYrFPYTuph,spotify:track:1qMnyfVxKKlAxYrFPYTuph,Mixy (feat. Summer Walker),Quavo,2,1,0.808,0.524,-9.626,0.0907,0.221,0.000154,0.11,75.483,0.505,270199,4,63
1949,1T4k0sw0HldDg004Kw4Oct,spotify:track:1T4k0sw0HldDg004Kw4Oct,Forever (feat. Fridayy),Lil Baby,4,0,0.462,0.251,-12.072,0.414,0.159,0.0,0.201,89.705,0.137,167977,3,77
1950,2ZL7WZcjuYKi1KUDtp4kCC,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,Drake,7,1,0.773,0.701,-6.386,0.01,0.0512,0.0,0.163,129.963,0.203,214589,4,88
1951,6PQK1Y3Dl6dym9pj0y9Chy,spotify:track:6PQK1Y3Dl6dym9pj0y9Chy,Give You What You Want,Lil Tjay,10,0,0.691,0.656,-5.673,0.222,0.0679,0.00111,0.153,89.467,0.393,159331,4,74
1952,0sSRLXxknVTQDStgU1NqpY,spotify:track:0sSRLXxknVTQDStgU1NqpY,Hours In Silence,Drake,6,0,0.501,0.403,-11.106,0.234,0.119,0.0,0.267,118.352,0.111,399154,4,85
1953,557DLyFeg06jCV2cpT005C,spotify:track:557DLyFeg06jCV2cpT005C,Toxic,YG,10,0,0.688,0.478,-7.04,0.384,0.202,0.0,0.0975,99.998,0.444,213289,4,67
1954,6ug9fUi5oLLgQgOF1G8WkM,spotify:track:6ug9fUi5oLLgQgOF1G8WkM,California Breeze,Lil Baby,5,0,0.738,0.666,-6.97,0.00361,0.455,0.0,0.107,161.734,0.215,177789,4,82
1955,0pNU90wTsUGC845ZyXISlW,spotify:track:0pNU90wTsUGC845ZyXISlW,City Of Love,Toosii,2,1,0.638,0.604,-5.892,0.55,0.104,0.0,0.192,160.038,0.625,160837,4,56
1956,17GwUSpTy04lYWHHmwMvTD,spotify:track:17GwUSpTy04lYWHHmwMvTD,My Go To (feat. Kehlani),YoungBoy Never Broke Again,7,0,0.664,0.633,-7.411,0.655,0.0953,0.0,0.116,102.88,0.509,203918,4,59
1957,7cFPWLFiE60sdgzPsyydUJ,spotify:track:7cFPWLFiE60sdgzPsyydUJ,Hide & Seek,Stormzy,2,1,0.807,0.376,-7.768,0.379,0.0638,0.00387,0.114,104.908,0.671,209291,4,80
1958,6H6ZtVp6DymejLOJLdRzOI,spotify:track:6H6ZtVp6DymejLOJLdRzOI,Shordie (with Gunna),G Herbo,9,1,0.768,0.695,-4.883,0.0301,0.179,0.0,0.235,76.007,0.41,176588,4,68
1959,5kYSScXYOZYyi0fxramiW6,spotify:track:5kYSScXYOZYyi0fxramiW6,BEAUTIFUL (feat. Future & SZA),DJ Khaled,6,1,0.489,0.55,-6.729,0.103,0.233,0.0,0.118,171.882,0.241,223233,4,71
1960,2u1ctOsUchwMbWd2kyDgfu,spotify:track:2u1ctOsUchwMbWd2kyDgfu,What Type of Games,Yung Bleu,10,0,0.863,0.321,-10.399,0.0296,0.537,0.0044,0.102,150.977,0.162,152583,4,56
1961,6kSPwMUYpnBDIWViA3MKMT,spotify:track:6kSPwMUYpnBDIWViA3MKMT,Stop Playin (feat. Jeremih),Lil Baby,1,1,0.864,0.284,-7.475,0.0174,0.171,0.0,0.111,133.979,0.129,157836,4,67
1962,00oGVikl6GISbBbCiJyyi4,spotify:track:00oGVikl6GISbBbCiJyyi4,God Sent (feat. Vory),Fridayy,3,0,0.409,0.49,-7.757,0.835,0.0438,0.0,0.183,85.385,0.694,174946,4,51
1963,6ja11GoXgF75QkEVqqAadn,spotify:track:6ja11GoXgF75QkEVqqAadn,Ain’t Safe (feat. Don Toliver),Trippie Redd,9,1,0.829,0.644,-4.86,0.221,0.291,1.04e-06,0.141,147.151,0.515,166515,4,75
1964,2ZJSuTo2KtL066oKKmcUlL,spotify:track:2ZJSuTo2KtL066oKKmcUlL,Stone Cold,Dess Dior,0,1,0.669,0.706,-8.882,0.0511,0.0458,0.0,0.266,157.049,0.726,150320,4,58
1965,3Jo34FHsqVDp7QLP9Ahw2n,spotify:track:3Jo34FHsqVDp7QLP9Ahw2n,No Stoppin ft. Blxst,Kalan.FrFr,8,0,0.616,0.744,-6.523,0.203,0.234,0.0,0.0883,99.968,0.5,177628,4,52
1966,1JBjfBbl1WdRz01inOooWz,spotify:track:1JBjfBbl1WdRz01inOooWz,Keep it Playa,Enchanting,5,1,0.822,0.585,-5.111,0.0707,0.106,0.0,0.104,139.985,0.622,165857,4,47
1967,7d60THs9nBNnlDg1hksDnJ,spotify:track:7d60THs9nBNnlDg1hksDnJ,I Admit (feat. Nicki Minaj),YoungBoy Never Broke Again,1,1,0.769,0.557,-6.37,0.368,0.0386,0.0,0.16,139.982,0.53,207429,4,62
1968,5c5lCOFiMF14K2pzYep4wo,spotify:track:5c5lCOFiMF14K2pzYep4wo,Matinee,Smino,1,0,0.718,0.817,-6.137,0.231,0.127,0.0,0.662,163.915,0.785,188658,4,59
1969,1UzEMXvcbY5vT5NTAEyO7T,spotify:track:1UzEMXvcbY5vT5NTAEyO7T,Date Night,Toosii,0,1,0.759,0.436,-7.755,0.0226,0.168,0.0124,0.0706,102.037,0.32,132539,4,54
1970,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,1,1,0.463,0.642,-4.474,0.314,0.34,0.0,0.0686,83.389,0.339,189893,4,88
1971,7vVs4XCsQyGn1Au3drvo9Z,spotify:track:7vVs4XCsQyGn1Au3drvo9Z,Call Me Every Day (feat. Wizkid),Chris Brown,4,0,0.729,0.634,-7.194,0.115,0.175,1.35e-05,0.0997,171.862,0.772,146840,4,70
1972,6jXaJ37W4yKIBOEMpjGlli,spotify:track:6jXaJ37W4yKIBOEMpjGlli,Luv Me Again,PnB Rock,8,0,0.7,0.751,-4.947,0.659,0.142,0.0,0.112,149.922,0.883,127929,4,63
1973,0AzqJBVMdHP9ijAadQ0T18,spotify:track:0AzqJBVMdHP9ijAadQ0T18,Sober (feat. Roddy Ricch & Post Malone),YG,7,0,0.671,0.46,-8.643,0.12,0.215,0.0,0.106,83.877,0.298,253913,4,68
1974,47YxktAwOYF7RXfDbBuzI6,spotify:track:47YxktAwOYF7RXfDbBuzI6,Slide-In (feat. YG),Day Sulan,11,1,0.741,0.429,-8.919,0.185,0.0589,0.0,0.13,94.966,0.219,231828,4,43
1975,3fWchdm3NfLb4licNeIhV7,spotify:track:3fWchdm3NfLb4licNeIhV7,Love In The Way,Yung Bleu,11,1,0.633,0.565,-6.531,0.593,0.269,0.0,0.126,104.933,0.336,223824,4,66
1976,5cBdWCvl3E4t5BXjIDCC9R,spotify:track:5cBdWCvl3E4t5BXjIDCC9R,All Of Me,3Breezy,7,0,0.684,0.509,-11.753,0.0358,0.274,0.0,0.186,85.819,0.533,167442,4,44
1977,1gHamNXNt8OjoynRvGhg1a,spotify:track:1gHamNXNt8OjoynRvGhg1a,Pull Up,Kalan.FrFr,6,0,0.786,0.663,-5.103,0.121,0.0562,0.0,0.112,102.017,0.134,174617,4,49
